FileName,Common Name
Blaumeise_(0_03)_RussianFederation_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_09)_Poland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_09)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_11)_Finland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_12)_UnitedKingdom_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_13)_Italy_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_13)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_14)_France_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_15)_Netherlands_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_17)_Netherlands_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_21)_RussianFederation_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_24)_Netherlands_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_25)_UnitedKingdom_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_26)_Spain_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_27)_Poland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_27)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_28)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_29)_France_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_30)_Estonia_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_30)_Poland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_31)_France_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_31)_UnitedKingdom_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_36)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_36)_Ireland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_37)_RussianFederation_alarmcall_B_result,Eurasian Blue Tit
Blaumeise_(0_40)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_42)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_43)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_46)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_47)_Spain_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_48)_UnitedKingdom_alarmcall_B_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter2_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter4_result,Eurasian Blue Tit
Blaumeise_0_30__Italy_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_30__Italy_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_30__Sweden_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_30__Sweden_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_30__Sweden_alarmcall_A_third3_result,Eurasian Blue Tit
Blaumeise_0_31__Germany_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_31__Germany_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_31__Germany_alarmcall_A_third3_result,Eurasian Blue Tit
Blaumeise_0_31__Poland_alarmcall_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_32__Italy_alarmcall_A_half1_result,Eurasian Blue Tit
Blaumeise_0_32__Italy_alarmcall_A_half2_result,Eurasian Blue Tit
Blaumeise_0_34__Poland_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_34__Poland_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_34__Poland_alarmcall_A_third3_result,Eurasian Blue Tit
Blaumeise_(0_08)_France_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_10)_Portugal_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_14)_Netherlands_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_(0_15)_France_beggingcall_C_result,Eurasian Blue Tit
